0,0,1
(19*Sqrt[40919]*Cos[Pi/4272])/4272,(19*Sqrt[40919]*Sin[Pi/4272])/4272,-1865/4272
(Sqrt[4489055]*Cos[Pi/2136])/2136,(Sqrt[4489055]*Sin[Pi/2136])/2136,271/2136
(21*Sqrt[2407]*Cos[Pi/1424])/1424,(21*Sqrt[2407]*Sin[Pi/1424])/1424,983/1424
(Sqrt[505415]*Cos[Pi/1068])/1068,(Sqrt[505415]*Sin[Pi/1068])/1068,-797/1068
(Sqrt[17640023]*Cos[(5*Pi)/4272])/4272,(Sqrt[17640023]*Sin[(5*Pi)/4272])/4272,-781/4272
(21*Sqrt[983]*Cos[Pi/712])/712,(21*Sqrt[983]*Sin[Pi/712])/712,271/712
(Sqrt[1984895]*Cos[(7*Pi)/4272])/4272,(Sqrt[1984895]*Sin[(7*Pi)/4272])/4272,4033/4272
(Sqrt[215987]*Cos[Pi/534])/534,(Sqrt[215987]*Sin[Pi/534])/534,-263/534
(105*Sqrt[183]*Cos[(3*Pi)/1424])/1424,(105*Sqrt[183]*Sin[(3*Pi)/1424])/1424,101/1424
(Sqrt[2726471]*Cos[(5*Pi)/2136])/2136,(Sqrt[2726471]*Sin[(5*Pi)/2136])/2136,1355/2136
(13*Sqrt[38495]*Cos[(11*Pi)/4272])/4272,(13*Sqrt[38495]*Sin[(11*Pi)/4272])/4272,-3427/4272
(21*Sqrt[271]*Cos[Pi/356])/356,(21*Sqrt[271]*Sin[Pi/356])/356,-85/356
(Sqrt[16326215]*Cos[(13*Pi)/4272])/4272,(Sqrt[16326215]*Sin[(13*Pi)/4272])/4272,1387/4272
(Sqrt[963887]*Cos[(7*Pi)/2136])/2136,(Sqrt[963887]*Sin[(7*Pi)/2136])/2136,1897/2136
(21*Sqrt[3215]*Cos[(5*Pi)/1424])/1424,(21*Sqrt[3215]*Sin[(5*Pi)/1424])/1424,-781/1424
(Sqrt[71273]*Cos[Pi/267])/267,(Sqrt[71273]*Sin[Pi/267])/267,4/267
(Sqrt[12144143]*Cos[(17*Pi)/4272])/4272,(Sqrt[12144143]*Sin[(17*Pi)/4272])/4272,2471/4272
(21*Sqrt[303]*Cos[(3*Pi)/712])/712,(21*Sqrt[303]*Sin[(3*Pi)/712])/712,-611/712
(Sqrt[16664903]*Cos[(19*Pi)/4272])/4272,(Sqrt[16664903]*Sin[(19*Pi)/4272])/4272,-1259/4272
(Sqrt[1058255]*Cos[(5*Pi)/1068])/1068,(Sqrt[1058255]*Sin[(5*Pi)/1068])/1068,287/1068
(Sqrt[623551]*Cos[(7*Pi)/1424])/1424,(Sqrt[623551]*Sin[(7*Pi)/1424])/1424,1185/1424
(13*Sqrt[17135]*Cos[(11*Pi)/2136])/2136,(13*Sqrt[17135]*Sin[(11*Pi)/2136])/2136,-1291/2136
(Sqrt[18219359]*Cos[(23*Pi)/4272])/4272,(Sqrt[18219359]*Sin[(23*Pi)/4272])/4272,-175/4272
(Sqrt[23035]*Cos[Pi/178])/178,(Sqrt[23035]*Sin[Pi/178])/178,93/178
(Sqrt[3000959]*Cos[(25*Pi)/4272])/4272,(Sqrt[3000959]*Sin[(25*Pi)/4272])/4272,-3905/4272
(Sqrt[4001495]*Cos[(13*Pi)/2136])/2136,(Sqrt[4001495]*Sin[(13*Pi)/2136])/2136,-749/2136
(Sqrt[1935967]*Cos[(9*Pi)/1424])/1424,(Sqrt[1935967]*Sin[(9*Pi)/1424])/1424,303/1424
(Sqrt[453383]*Cos[(7*Pi)/1068])/1068,(Sqrt[453383]*Sin[(7*Pi)/1068])/1068,829/1068
(Sqrt[10291943]*Cos[(29*Pi)/4272])/4272,(Sqrt[10291943]*Sin[(29*Pi)/4272])/4272,-2821/4272
(Sqrt[502183]*Cos[(5*Pi)/712])/712,(Sqrt[502183]*Sin[(5*Pi)/712])/712,-69/712
(Sqrt[14277935]*Cos[(31*Pi)/4272])/4272,(Sqrt[14277935]*Sin[(31*Pi)/4272])/4272,1993/4272
(4*Sqrt[263]*Cos[(2*Pi)/267])/267,(4*Sqrt[263]*Sin[(2*Pi)/267])/267,-259/267
(13*Sqrt[10015]*Cos[(11*Pi)/1424])/1424,(13*Sqrt[10015]*Sin[(11*Pi)/1424])/1424,-579/1424
(Sqrt[4450271]*Cos[(17*Pi)/2136])/2136,(Sqrt[4450271]*Sin[(17*Pi)/2136])/2136,335/2136
(Sqrt[8782055]*Cos[(35*Pi)/4272])/4272,(Sqrt[8782055]*Sin[(35*Pi)/4272])/4272,3077/4272
(Sqrt[61711]*Cos[(3*Pi)/356])/356,(Sqrt[61711]*Sin[(3*Pi)/356])/356,-255/356
(5*Sqrt[712943]*Cos[(37*Pi)/4272])/4272,(5*Sqrt[712943]*Sin[(37*Pi)/4272])/4272,-653/4272
(Sqrt[3793367]*Cos[(19*Pi)/2136])/2136,(Sqrt[3793367]*Sin[(19*Pi)/2136])/2136,877/2136
(Sqrt[104007]*Cos[(13*Pi)/1424])/1424,(Sqrt[104007]*Sin[(13*Pi)/1424])/1424,1387/1424
(Sqrt[224147]*Cos[(5*Pi)/534])/534,(Sqrt[224147]*Sin[(5*Pi)/534])/534,-247/534
(Sqrt[18064223]*Cos[(41*Pi)/4272])/4272,(Sqrt[18064223]*Sin[(41*Pi)/4272])/4272,431/4272
(Sqrt[283215]*Cos[(7*Pi)/712])/712,(Sqrt[283215]*Sin[(7*Pi)/712])/712,473/712
(Sqrt[7366583]*Cos[(43*Pi)/4272])/4272,(Sqrt[7366583]*Sin[(43*Pi)/4272])/4272,-3299/4272
(13*Sqrt[6455]*Cos[(11*Pi)/1068])/1068,(13*Sqrt[6455]*Sin[(11*Pi)/1068])/1068,-223/1068
(Sqrt[1772751]*Cos[(15*Pi)/1424])/1424,(Sqrt[1772751]*Sin[(15*Pi)/1424])/1424,505/1424
(5*Sqrt[28679]*Cos[(23*Pi)/2136])/2136,(5*Sqrt[28679]*Sin[(23*Pi)/2136])/2136,1961/2136
