0,0,1
(4*Sqrt[255]*Cos[(2*Pi)/71])/71,(4*Sqrt[255]*Sin[(2*Pi)/71])/71,-31/71
(4*Sqrt[310]*Cos[(4*Pi)/71])/71,(4*Sqrt[310]*Sin[(4*Pi)/71])/71,9/71
(4*Sqrt[165]*Cos[(6*Pi)/71])/71,(4*Sqrt[165]*Sin[(6*Pi)/71])/71,49/71
(6*Sqrt[62]*Cos[(8*Pi)/71])/71,(6*Sqrt[62]*Sin[(8*Pi)/71])/71,-53/71
(2*Sqrt[1218]*Cos[(10*Pi)/71])/71,(2*Sqrt[1218]*Sin[(10*Pi)/71])/71,-13/71
(14*Sqrt[22]*Cos[(12*Pi)/71])/71,(14*Sqrt[22]*Sin[(12*Pi)/71])/71,27/71
(2*Sqrt[138]*Cos[(14*Pi)/71])/71,(2*Sqrt[138]*Sin[(14*Pi)/71])/71,67/71
(6*Sqrt[106]*Cos[(16*Pi)/71])/71,(6*Sqrt[106]*Sin[(16*Pi)/71])/71,-35/71
(2*Sqrt[1254]*Sin[(35*Pi)/142])/71,(2*Sqrt[1254]*Cos[(35*Pi)/142])/71,5/71
(2*Sqrt[754]*Sin[(31*Pi)/142])/71,(2*Sqrt[754]*Cos[(31*Pi)/142])/71,45/71
(16*Sqrt[7]*Sin[(27*Pi)/142])/71,(16*Sqrt[7]*Cos[(27*Pi)/142])/71,-57/71
(12*Sqrt[33]*Sin[(23*Pi)/142])/71,(12*Sqrt[33]*Cos[(23*Pi)/142])/71,-17/71
(4*Sqrt[282]*Sin[(19*Pi)/142])/71,(4*Sqrt[282]*Cos[(19*Pi)/142])/71,23/71
(4*Sqrt[67]*Sin[(15*Pi)/142])/71,(4*Sqrt[67]*Cos[(15*Pi)/142])/71,63/71
(8*Sqrt[55]*Sin[(11*Pi)/142])/71,(8*Sqrt[55]*Cos[(11*Pi)/142])/71,-39/71
(12*Sqrt[35]*Sin[(7*Pi)/142])/71,(12*Sqrt[35]*Cos[(7*Pi)/142])/71,1/71
(4*Sqrt[210]*Sin[(3*Pi)/142])/71,(4*Sqrt[210]*Cos[(3*Pi)/142])/71,41/71
(-2*Sqrt[330]*Sin[Pi/142])/71,(2*Sqrt[330]*Cos[Pi/142])/71,-61/71
(-10*Sqrt[46]*Sin[(5*Pi)/142])/71,(10*Sqrt[46]*Cos[(5*Pi)/142])/71,-21/71
(-6*Sqrt[130]*Sin[(9*Pi)/142])/71,(6*Sqrt[130]*Cos[(9*Pi)/142])/71,19/71
(-2*Sqrt[390]*Sin[(13*Pi)/142])/71,(2*Sqrt[390]*Cos[(13*Pi)/142])/71,59/71
(-2*Sqrt[798]*Sin[(17*Pi)/142])/71,(2*Sqrt[798]*Cos[(17*Pi)/142])/71,-43/71
(-2*Sqrt[1258]*Sin[(21*Pi)/142])/71,(2*Sqrt[1258]*Cos[(21*Pi)/142])/71,-3/71
(-6*Sqrt[102]*Sin[(25*Pi)/142])/71,(6*Sqrt[102]*Cos[(25*Pi)/142])/71,37/71
(-4*Sqrt[51]*Sin[(29*Pi)/142])/71,(4*Sqrt[51]*Cos[(29*Pi)/142])/71,-65/71
(-8*Sqrt[69]*Sin[(33*Pi)/142])/71,(8*Sqrt[69]*Cos[(33*Pi)/142])/71,-25/71
(-4*Sqrt[301]*Cos[(17*Pi)/71])/71,(4*Sqrt[301]*Sin[(17*Pi)/71])/71,15/71
(-12*Sqrt[14]*Cos[(15*Pi)/71])/71,(12*Sqrt[14]*Sin[(15*Pi)/71])/71,55/71
(-4*Sqrt[177]*Cos[(13*Pi)/71])/71,(4*Sqrt[177]*Sin[(13*Pi)/71])/71,-47/71
(-8*Sqrt[78]*Cos[(11*Pi)/71])/71,(8*Sqrt[78]*Sin[(11*Pi)/71])/71,-7/71
(-4*Sqrt[247]*Cos[(9*Pi)/71])/71,(4*Sqrt[247]*Sin[(9*Pi)/71])/71,33/71
(-2*Sqrt[70]*Cos[(7*Pi)/71])/71,(2*Sqrt[70]*Sin[(7*Pi)/71])/71,-69/71
(-10*Sqrt[42]*Cos[(5*Pi)/71])/71,(10*Sqrt[42]*Sin[(5*Pi)/71])/71,-29/71
(-2*Sqrt[1230]*Cos[(3*Pi)/71])/71,(2*Sqrt[1230]*Sin[(3*Pi)/71])/71,11/71
(-2*Sqrt[610]*Cos[Pi/71])/71,(2*Sqrt[610]*Sin[Pi/71])/71,51/71
(-2*Sqrt[610]*Cos[Pi/71])/71,(-2*Sqrt[610]*Sin[Pi/71])/71,-51/71
(-2*Sqrt[1230]*Cos[(3*Pi)/71])/71,(-2*Sqrt[1230]*Sin[(3*Pi)/71])/71,-11/71
(-10*Sqrt[42]*Cos[(5*Pi)/71])/71,(-10*Sqrt[42]*Sin[(5*Pi)/71])/71,29/71
(-2*Sqrt[70]*Cos[(7*Pi)/71])/71,(-2*Sqrt[70]*Sin[(7*Pi)/71])/71,69/71
(-4*Sqrt[247]*Cos[(9*Pi)/71])/71,(-4*Sqrt[247]*Sin[(9*Pi)/71])/71,-33/71
(-8*Sqrt[78]*Cos[(11*Pi)/71])/71,(-8*Sqrt[78]*Sin[(11*Pi)/71])/71,7/71
(-4*Sqrt[177]*Cos[(13*Pi)/71])/71,(-4*Sqrt[177]*Sin[(13*Pi)/71])/71,47/71
(-12*Sqrt[14]*Cos[(15*Pi)/71])/71,(-12*Sqrt[14]*Sin[(15*Pi)/71])/71,-55/71
(-4*Sqrt[301]*Cos[(17*Pi)/71])/71,(-4*Sqrt[301]*Sin[(17*Pi)/71])/71,-15/71
(-8*Sqrt[69]*Sin[(33*Pi)/142])/71,(-8*Sqrt[69]*Cos[(33*Pi)/142])/71,25/71
(-4*Sqrt[51]*Sin[(29*Pi)/142])/71,(-4*Sqrt[51]*Cos[(29*Pi)/142])/71,65/71
(-6*Sqrt[102]*Sin[(25*Pi)/142])/71,(-6*Sqrt[102]*Cos[(25*Pi)/142])/71,-37/71
(-2*Sqrt[1258]*Sin[(21*Pi)/142])/71,(-2*Sqrt[1258]*Cos[(21*Pi)/142])/71,3/71
(-2*Sqrt[798]*Sin[(17*Pi)/142])/71,(-2*Sqrt[798]*Cos[(17*Pi)/142])/71,43/71
(-2*Sqrt[390]*Sin[(13*Pi)/142])/71,(-2*Sqrt[390]*Cos[(13*Pi)/142])/71,-59/71
(-6*Sqrt[130]*Sin[(9*Pi)/142])/71,(-6*Sqrt[130]*Cos[(9*Pi)/142])/71,-19/71
(-10*Sqrt[46]*Sin[(5*Pi)/142])/71,(-10*Sqrt[46]*Cos[(5*Pi)/142])/71,21/71
(-2*Sqrt[330]*Sin[Pi/142])/71,(-2*Sqrt[330]*Cos[Pi/142])/71,61/71
(4*Sqrt[210]*Sin[(3*Pi)/142])/71,(-4*Sqrt[210]*Cos[(3*Pi)/142])/71,-41/71
(12*Sqrt[35]*Sin[(7*Pi)/142])/71,(-12*Sqrt[35]*Cos[(7*Pi)/142])/71,-1/71
