0,0,1
(Sqrt[1372105]*Cos[Pi/1189])/1189,(Sqrt[1372105]*Sin[Pi/1189])/1189,204/1189
(4*Sqrt[50235]*Cos[(2*Pi)/1189])/1189,(4*Sqrt[50235]*Sin[(2*Pi)/1189])/1189,-781/1189
(Sqrt[1039177]*Cos[(3*Pi)/1189])/1189,(Sqrt[1039177]*Sin[(3*Pi)/1189])/1189,612/1189
(4*Sqrt[79662]*Cos[(4*Pi)/1189])/1189,(4*Sqrt[79662]*Sin[(4*Pi)/1189])/1189,-373/1189
(611*Cos[(5*Pi)/1189])/1189,(611*Sin[(5*Pi)/1189])/1189,1020/1189
(12*Sqrt[9809]*Cos[(6*Pi)/1189])/1189,(12*Sqrt[9809]*Sin[(6*Pi)/1189])/1189,35/1189
(Sqrt[511221]*Cos[(7*Pi)/1189])/1189,(Sqrt[511221]*Sin[(7*Pi)/1189])/1189,-950/1189
(8*Sqrt[19023]*Cos[(8*Pi)/1189])/1189,(8*Sqrt[19023]*Sin[(8*Pi)/1189])/1189,443/1189
(Sqrt[1119957]*Cos[(9*Pi)/1189])/1189,(Sqrt[1119957]*Sin[(9*Pi)/1189])/1189,-542/1189
(52*Sqrt[255]*Cos[(10*Pi)/1189])/1189,(52*Sqrt[255]*Sin[(10*Pi)/1189])/1189,851/1189
(21*Sqrt[3165]*Cos[(11*Pi)/1189])/1189,(21*Sqrt[3165]*Sin[(11*Pi)/1189])/1189,-134/1189
(2*Sqrt[40390]*Cos[(12*Pi)/1189])/1189,(2*Sqrt[40390]*Sin[(12*Pi)/1189])/1189,-1119/1189
(Sqrt[1338645]*Cos[(13*Pi)/1189])/1189,(Sqrt[1338645]*Sin[(13*Pi)/1189])/1189,274/1189
(10*Sqrt[9082]*Cos[(14*Pi)/1189])/1189,(10*Sqrt[9082]*Sin[(14*Pi)/1189])/1189,-711/1189
(13*Sqrt[5613]*Cos[(15*Pi)/1189])/1189,(13*Sqrt[5613]*Sin[(15*Pi)/1189])/1189,682/1189
(2*Sqrt[330478]*Cos[(16*Pi)/1189])/1189,(2*Sqrt[330478]*Sin[(16*Pi)/1189])/1189,-303/1189
(3*Sqrt[25069]*Cos[(17*Pi)/1189])/1189,(3*Sqrt[25069]*Sin[(17*Pi)/1189])/1189,1090/1189
(2*Sqrt[350674]*Cos[(18*Pi)/1189])/1189,(2*Sqrt[350674]*Sin[(18*Pi)/1189])/1189,105/1189
(Sqrt[639321]*Cos[(19*Pi)/1189])/1189,(Sqrt[639321]*Sin[(19*Pi)/1189])/1189,-880/1189
(26*Sqrt[1702]*Cos[(20*Pi)/1189])/1189,(26*Sqrt[1702]*Sin[(20*Pi)/1189])/1189,513/1189
(Sqrt[1190937]*Cos[(21*Pi)/1189])/1189,(Sqrt[1190937]*Sin[(21*Pi)/1189])/1189,-472/1189
(2*Sqrt[141370]*Cos[(22*Pi)/1189])/1189,(2*Sqrt[141370]*Sin[(22*Pi)/1189])/1189,921/1189
(15*Sqrt[6265]*Cos[(23*Pi)/1189])/1189,(15*Sqrt[6265]*Sin[(23*Pi)/1189])/1189,-64/1189
(2*Sqrt[78330]*Cos[(24*Pi)/1189])/1189,(2*Sqrt[78330]*Sin[(24*Pi)/1189])/1189,-1049/1189
(13*Sqrt[7665]*Cos[(25*Pi)/1189])/1189,(13*Sqrt[7665]*Sin[(25*Pi)/1189])/1189,344/1189
(2*Sqrt[250710]*Cos[(26*Pi)/1189])/1189,(2*Sqrt[250710]*Sin[(26*Pi)/1189])/1189,-641/1189
(Sqrt[848217]*Cos[(27*Pi)/1189])/1189,(Sqrt[848217]*Sin[(27*Pi)/1189])/1189,752/1189
(6*Sqrt[37762]*Cos[(28*Pi)/1189])/1189,(6*Sqrt[37762]*Sin[(28*Pi)/1189])/1189,-233/1189
(9*Cos[Pi/41])/41,(9*Sin[Pi/41])/41,40/41
(26*Sqrt[2046]*Cos[(30*Pi)/1189])/1189,(26*Sqrt[2046]*Sin[(30*Pi)/1189])/1189,175/1189
(Sqrt[757621]*Cos[(31*Pi)/1189])/1189,(Sqrt[757621]*Sin[(31*Pi)/1189])/1189,-810/1189
(2*Sqrt[268458]*Cos[(32*Pi)/1189])/1189,(2*Sqrt[268458]*Sin[(32*Pi)/1189])/1189,583/1189
(Sqrt[1252117]*Cos[(33*Pi)/1189])/1189,(Sqrt[1252117]*Sin[(33*Pi)/1189])/1189,-402/1189
(6*Sqrt[11990]*Cos[(34*Pi)/1189])/1189,(6*Sqrt[11990]*Sin[(34*Pi)/1189])/1189,991/1189
(13*Sqrt[8365]*Cos[(35*Pi)/1189])/1189,(13*Sqrt[8365]*Sin[(35*Pi)/1189])/1189,6/1189
(4*Sqrt[28455]*Cos[(36*Pi)/1189])/1189,(4*Sqrt[28455]*Sin[(36*Pi)/1189])/1189,-979/1189
(5*Sqrt[49693]*Cos[(37*Pi)/1189])/1189,(5*Sqrt[49693]*Sin[(37*Pi)/1189])/1189,414/1189
(8*Sqrt[16995]*Cos[(38*Pi)/1189])/1189,(8*Sqrt[16995]*Sin[(38*Pi)/1189])/1189,-571/1189
(Sqrt[738037]*Cos[(39*Pi)/1189])/1189,(Sqrt[738037]*Sin[(39*Pi)/1189])/1189,822/1189
(156*Sqrt[57]*Cos[(40*Pi)/1189])/1189,(156*Sqrt[57]*Sin[(40*Pi)/1189])/1189,-163/1189
(Sqrt[57]*Cos[Pi/29])/29,(Sqrt[57]*Sin[Pi/29])/29,-28/29
(4*Sqrt[84606]*Cos[(42*Pi)/1189])/1189,(4*Sqrt[84606]*Sin[(42*Pi)/1189])/1189,245/1189
(Sqrt[866121]*Cos[(43*Pi)/1189])/1189,(Sqrt[866121]*Sin[(43*Pi)/1189])/1189,-740/1189
(4*Sqrt[61707]*Cos[(44*Pi)/1189])/1189,(4*Sqrt[61707]*Sin[(44*Pi)/1189])/1189,653/1189
(39*Sqrt[857]*Cos[(45*Pi)/1189])/1189,(39*Sqrt[857]*Sin[(45*Pi)/1189])/1189,-332/1189
(240*Sqrt[5]*Cos[(46*Pi)/1189])/1189,(240*Sqrt[5]*Sin[(46*Pi)/1189])/1189,1061/1189
(Sqrt[1407945]*Cos[(47*Pi)/1189])/1189,(Sqrt[1407945]*Sin[(47*Pi)/1189])/1189,76/1189
(4*Sqrt[36715]*Cos[(48*Pi)/1189])/1189,(4*Sqrt[36715]*Sin[(48*Pi)/1189])/1189,-909/1189
(Sqrt[1179465]*Cos[(49*Pi)/1189])/1189,(Sqrt[1179465]*Sin[(49*Pi)/1189])/1189,484/1189
(52*Sqrt[430]*Cos[(50*Pi)/1189])/1189,(52*Sqrt[430]*Sin[(50*Pi)/1189])/1189,-501/1189
(3*Sqrt[68673]*Cos[(51*Pi)/1189])/1189,(3*Sqrt[68673]*Sin[(51*Pi)/1189])/1189,892/1189
(4*Sqrt[87817]*Cos[(52*Pi)/1189])/1189,(4*Sqrt[87817]*Sin[(52*Pi)/1189])/1189,-93/1189
(Sqrt[251637]*Cos[(53*Pi)/1189])/1189,(Sqrt[251637]*Sin[(53*Pi)/1189])/1189,-1078/1189
(8*Sqrt[20539]*Cos[(54*Pi)/1189])/1189,(8*Sqrt[20539]*Sin[(54*Pi)/1189])/1189,315/1189
(13*Sqrt[5709]*Cos[(55*Pi)/1189])/1189,(13*Sqrt[5709]*Sin[(55*Pi)/1189])/1189,-670/1189
(4*Sqrt[55687]*Cos[(56*Pi)/1189])/1189,(4*Sqrt[55687]*Sin[(56*Pi)/1189])/1189,723/1189
(3*Sqrt[149453]*Cos[(57*Pi)/1189])/1189,(3*Sqrt[149453]*Sin[(57*Pi)/1189])/1189,-262/1189
