0,0,1
(4*Sqrt[51]*Cos[(2*Pi)/29])/29,(4*Sqrt[51]*Sin[(2*Pi)/29])/29,5/29
(4*Sqrt[30]*Cos[(4*Pi)/29])/29,(4*Sqrt[30]*Sin[(4*Pi)/29])/29,-19/29
(2*Sqrt[154]*Cos[(6*Pi)/29])/29,(2*Sqrt[154]*Sin[(6*Pi)/29])/29,15/29
(2*Sqrt[190]*Sin[(13*Pi)/58])/29,(2*Sqrt[190]*Cos[(13*Pi)/58])/29,-9/29
(6*Sqrt[6]*Sin[(9*Pi)/58])/29,(6*Sqrt[6]*Cos[(9*Pi)/58])/29,25/29
(2*Sqrt[210]*Sin[(5*Pi)/58])/29,(2*Sqrt[210]*Cos[(5*Pi)/58])/29,1/29
(2*Sqrt[78]*Sin[Pi/58])/29,(2*Sqrt[78]*Cos[Pi/58])/29,-23/29
(-12*Sqrt[5]*Sin[(3*Pi)/58])/29,(12*Sqrt[5]*Cos[(3*Pi)/58])/29,11/29
(-4*Sqrt[42]*Sin[(7*Pi)/58])/29,(4*Sqrt[42]*Cos[(7*Pi)/58])/29,-13/29
(-20*Sin[(11*Pi)/58])/29,(20*Cos[(11*Pi)/58])/29,21/29
(-8*Sqrt[13]*Cos[(7*Pi)/29])/29,(8*Sqrt[13]*Sin[(7*Pi)/29])/29,-3/29
(-4*Sqrt[7]*Cos[(5*Pi)/29])/29,(4*Sqrt[7]*Sin[(5*Pi)/29])/29,-27/29
(-6*Sqrt[22]*Cos[(3*Pi)/29])/29,(6*Sqrt[22]*Sin[(3*Pi)/29])/29,7/29
(-2*Sqrt[138]*Cos[Pi/29])/29,(2*Sqrt[138]*Sin[Pi/29])/29,-17/29
(-2*Sqrt[138]*Cos[Pi/29])/29,(-2*Sqrt[138]*Sin[Pi/29])/29,17/29
(-6*Sqrt[22]*Cos[(3*Pi)/29])/29,(-6*Sqrt[22]*Sin[(3*Pi)/29])/29,-7/29
(-4*Sqrt[7]*Cos[(5*Pi)/29])/29,(-4*Sqrt[7]*Sin[(5*Pi)/29])/29,27/29
(-8*Sqrt[13]*Cos[(7*Pi)/29])/29,(-8*Sqrt[13]*Sin[(7*Pi)/29])/29,3/29
(-20*Sin[(11*Pi)/58])/29,(-20*Cos[(11*Pi)/58])/29,-21/29
(-4*Sqrt[42]*Sin[(7*Pi)/58])/29,(-4*Sqrt[42]*Cos[(7*Pi)/58])/29,13/29
(-12*Sqrt[5]*Sin[(3*Pi)/58])/29,(-12*Sqrt[5]*Cos[(3*Pi)/58])/29,-11/29
(2*Sqrt[78]*Sin[Pi/58])/29,(-2*Sqrt[78]*Cos[Pi/58])/29,23/29
(2*Sqrt[210]*Sin[(5*Pi)/58])/29,(-2*Sqrt[210]*Cos[(5*Pi)/58])/29,-1/29
(6*Sqrt[6]*Sin[(9*Pi)/58])/29,(-6*Sqrt[6]*Cos[(9*Pi)/58])/29,-25/29
(2*Sqrt[190]*Sin[(13*Pi)/58])/29,(-2*Sqrt[190]*Cos[(13*Pi)/58])/29,9/29
(2*Sqrt[154]*Cos[(6*Pi)/29])/29,(-2*Sqrt[154]*Sin[(6*Pi)/29])/29,-15/29
(4*Sqrt[30]*Cos[(4*Pi)/29])/29,(-4*Sqrt[30]*Sin[(4*Pi)/29])/29,19/29
(4*Sqrt[51]*Cos[(2*Pi)/29])/29,(-4*Sqrt[51]*Sin[(2*Pi)/29])/29,-5/29
